Artist,Title,Youtube_link
Emilíana Torrini,Jungle Drum,http://www.youtube.com/watch?v=iZ9vkd7Rp-g
Lustra,Scotty Doesn't Know,http://www.youtube.com/watch?v=51ncDQYxsm8
Jackson 5,Blame It On The Boogie,http://www.youtube.com/watch?v=nb1u7wMKywM
The B52'S ,Love Shack,http://www.youtube.com/watch?v=leohcvmf8kM
Blur ,Song 2 ,http://www.youtube.com/watch?v=WlAHZURxRjY
Blink 182 ,First Date,http://www.youtube.com/watch?v=vVy9Lgpg1m8
Benny Benassi ,Satisfaction ,http://www.youtube.com/watch?v=eoRiVwFP02s
Lily Allen ,Fuck You,http://www.youtube.com/watch?v=S0zMHf7J15g
Queen,I Want To Break Free,http://www.youtube.com/watch?v=EVYgRPfC9nQ
Rage Against The Machine,Bombtrack,https://www.youtube.com/watch?v=MUaL1FnotRQ&ab_channel=RATMVEVO
Michael Franti & Spearhead,Say Hey (I Love You),http://www.youtube.com/watch?v=eoaTl7IcFs8
Grand Archives,Miniature Birds,http://www.youtube.com/watch?v=_iEnN9ip1Qk
Bright Eyes,First Day Of My Life,http://www.youtube.com/watch?v=zwFS69nA-1w
Jason Mraz,I'm Yours,http://www.youtube.com/watch?v=EkHTsc9PU2A
Bishop Allen,Butterfly Nets,http://www.youtube.com/watch?v=B8eI64H1Cqk
The Submarines,Darkest Things,http://www.youtube.com/watch?v=ijLKoqN5_EY
Air,Moon Safari,http://www.youtube.com/watch?v=kxWFyvTg6mc
Louis Armstrong ,What A Wonderful World ,https://www.youtube.com/watch?v=VqhCQZaH4Vs
Manu Chao ,Me Gustas Tu,http://www.youtube.com/watch?v=mzgjiPBCsss
Taylor Swift ,Love Story,http://www.youtube.com/watch?v=8xg3vE8Ie_E
Diamanda Galas,Gloomy Sunday,http://www.youtube.com/watch?v=KzWVWY5QUzg
Porcupine Tree,Normal,http://www.youtube.com/watch?v=A-BSL5Av89w
Wilco,How To Fight Loneliness,http://www.youtube.com/watch?v=zLDPhPrr5Ig
James Blunt,Goodbye My Lover,http://www.youtube.com/watch?v=wVyggTKDcOE
A Fine Frenzy,Goodbye My Almost Lover,http://www.youtube.com/watch?v=EDEEzS7OV2k
Kings Of Convenience,The Weight Of My Words,http://www.youtube.com/watch?v=G-k19OCq7vE
Madonna,Rain,http://www.youtube.com/watch?v=15kWlTrpt5k
Sia,Breathe Me,http://www.youtube.com/watch?v=ghPcYqn0p4Y
Christina Aguilera ,Hurt,http://www.youtube.com/watch?v=zHqZmtAD0lQ
Enya ,May It Be (Saving Private Ryan),https://www.youtube.com/watch?v=ZFMntNtAK64
Mortemia,The One I Once Was,http://www.youtube.com/watch?v=O0yoxveh7Tg
Marilyn Manson,The Beautiful People,http://www.youtube.com/watch?v=Ypkv0HeUvTc
Dead To Fall,Bastard Set Of Dreams,http://www.youtube.com/watch?v=HdH8NYsDwWk
Dj Paul Elstak,A Hardcore State Of Mind,http://www.youtube.com/watch?v=6fxI1JsXv1A
Napalm Death ,Procrastination On The Empty Vessel,http://www.youtube.com/watch?v=Y9eXzmVzDR8
Sepultura ,Refuse Resist,https://www.youtube.com/watch?v=6ODNxy3YOPU
Cradle Of Filth ,Scorched Earth Erotica,http://www.youtube.com/watch?v=ScD62dww0Fw
Gorgoroth ,Carving A Giant,https://www.youtube.com/watch?v=kQ41d63BEk0
Dark Funeral ,My Funeral ,https://www.youtube.com/watch?v=TEVodXzNmPM
Arch Enemy,My Apocalypse,http://www.youtube.com/watch?v=mZM-d2qD15E
